Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
3147;18054;"Neuroscience Research";journal;"18728111, 01680102";"Elsevier Ireland Ltd";Yes;No;1,234;Q1;116;121;291;6725;854;280;2,96;55,58;29,02;5;Ireland;Western Europe;"Elsevier Ireland Ltd";"1984-2026";"Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)";"Medicine; Neuroscience"
3148;26319;"Sedimentary Geology";journal;"00370738";"Elsevier B.V.";No;No;1,234;Q1;145;125;402;11566;1500;400;3,47;92,53;29,72;2;Netherlands;Western Europe;"Elsevier B.V.";"1967-2026";"Geology (Q1); Stratigraphy (Q1)";"Earth and Planetary Sciences"
3149;12560;"Birth";journal;"1523536X, 07307659";"Wiley-Blackwell Publishing Ltd";No;No;1,233;Q1;99;47;185;1799;570;166;3,17;38,28;70,79;9;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2026";"Obstetrics and Gynecology (Q1)";"Medicine"
3150;21100788800;"Current Opinion in Green and Sustainable Chemistry";journal;"24522236";"Elsevier B.V.";No;No;1,233;Q1;91;105;268;5229;1689;238;5,72;49,80;33,96;10;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Chemistry (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1); Catalysis (Q2)";"Chemical Engineering; Chemistry; Environmental Science"
3151;26175;"Journal of Prosthetic Dentistry";journal;"00223913, 10976841";"Elsevier Inc.";No;No;1,233;Q1;168;304;863;9012;2951;839;3,21;29,64;36,85;4;United States;Northern America;"Elsevier Inc.";"1951-2026";"Medicine (miscellaneous) (Q1); Oral Surgery (Q1)";"Dentistry; Medicine"
3152;14882;"Test";journal;"11330686, 18638260";"Springer New York";No;No;1,233;Q1;54;53;161;1707;241;123;1,53;32,21;34,29;4;United States;Northern America;"Springer New York";"1988, 1992-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3153;30787;"AAPG Bulletin";journal;"01491423";"American Association of Petroleum Geologists";No;No;1,232;Q1;175;100;308;7306;1287;295;3,97;73,06;19,66;3;United States;Northern America;"American Association of Petroleum Geologists";"1943, 1950, 1967-2024";"Earth and Planetary Sciences (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1)";"Earth and Planetary Sciences; Energy"
3154;26062;"Endocrinology and Metabolism Clinics of North America";journal;"08898529, 15584410";"W.B. Saunders";No;No;1,232;Q1;130;60;205;3351;932;170;3,94;55,85;55,88;10;United States;Northern America;"W.B. Saunders";"1987-2026";"Endocrinology, Diabetes and Metabolism (Q1); Endocrinology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3155;28969;"European Physical Journal A";journal;"1434601X, 14346001";"Springer";No;No;1,232;Q1;116;299;715;18489;1991;686;2,97;61,84;20,25;6;Germany;Western Europe;"Springer";"1998-2026";"Nuclear and High Energy Physics (Q1)";"Physics and Astronomy"
3156;14017;"Human Development";journal;"14230054, 0018716X";"S. Karger AG";No;No;1,232;Q1;81;23;90;859;178;56;2,14;37,35;33,33;1;Switzerland;Western Europe;"S. Karger AG";"1958-2026";"Developmental and Educational Psychology (Q1)";"Psychology"
3157;14311;"Otolaryngology - Head and Neck Surgery";journal;"10976817, 01945998";"John Wiley and Sons Inc";No;No;1,232;Q1;156;394;1132;9298;2992;995;2,64;23,60;34,78;74;United States;Northern America;"John Wiley and Sons Inc";"1978-2026";"Otorhinolaryngology (Q1); Surgery (Q1)";"Medicine"
3158;144935;"Statistical Modelling";journal;"1471082X";"SAGE Publications Ltd";No;No;1,232;Q1;53;24;87;859;111;73;1,33;35,79;32,88;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3159;19700166804;"Ticks and Tick-borne Diseases";journal;"18779603, 1877959X";"Elsevier GmbH";Yes;No;1,232;Q1;74;211;552;10034;1976;536;3,49;47,55;43,75;44;Germany;Western Europe;"Elsevier GmbH";"2010-2026";"Infectious Diseases (Q1); Insect Science (Q1); Parasitology (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology; Medicine"
3160;26423;"Organometallics";journal;"15206041, 02767333";"American Chemical Society";No;No;1,231;Q1;192;522;1654;31510;5804;1633;3,58;60,36;26,25;1;United States;Northern America;"American Chemical Society";"1982-2026";"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
3161;20897;"Transportation Research Part F: Traffic Psychology and Behaviour";journal;"13698478";"Elsevier Ltd";No;No;1,231;Q1;135;218;784;11675;3213;778;3,92;53,56;41,58;52;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2026";"Applied Psychology (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Transportation (Q1)";"Engineering; Psychology; Social Sciences"
3162;19621;"BMC Public Health";journal;"14712458";"BioMed Central Ltd";Yes;No;1,230;Q1;225;1892;4169;86008;15080;4166;3,24;45,46;51,16;697;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2026";"Public Health, Environmental and Occupational Health (Q1)";"Medicine"
3163;18026;"BMC Pulmonary Medicine";journal;"14712466";"BioMed Central Ltd";Yes;No;1,230;Q1;92;316;672;9646;2378;671;3,25;30,53;38,14;30;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2026";"Pulmonary and Respiratory Medicine (Q1)";"Medicine"
3164;21100872100;"European Thyroid Journal";journal;"22350640, 22350802";"BioScientifica Ltd.";Yes;No;1,230;Q1;37;46;98;1733;513;92;4,00;37,67;46,79;6;Switzerland;Western Europe;"BioScientifica Ltd.";"2013-2014, 2016-2026";"Endocrinology, Diabetes and Metabolism (Q1)";"Medicine"
3165;21100203111;"IEEE Wireless Communications Letters";journal;"21622345, 21622337";"IEEE Communications Society";No;No;1,230;Q1;127;478;900;6907;5206;900;5,79;14,45;25,39;0;United States;Northern America;"IEEE Communications Society";"2012-2026";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Engineering; Physics and Astronomy"
3166;21100920121;"IET Nanodielectrics";journal;"25143255";"John Wiley &amp; Sons Inc.";Yes;No;1,230;Q1;26;21;38;899;212;35;5,58;42,81;34,29;0;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2018-2026";"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1)";"Engineering; Materials Science; Physics and Astronomy"
3167;30045;"Journal of Personality Disorders";journal;"0885579X, 19432763";"Guilford Publications";No;No;1,230;Q1;114;79;163;4189;429;160;2,08;53,03;52,12;6;United States;Northern America;"Guilford Publications";"1987-2026";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
3168;17852;"NDT and E International";journal;"09638695";"Elsevier Ltd";No;No;1,230;Q1;123;115;369;3918;1573;367;4,18;34,07;20,43;2;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2026";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)";"Engineering; Materials Science; Physics and Astronomy"
3169;14233;"Statistical Papers";journal;"09325026, 16139798";"Springer New York";Yes;No;1,230;Q1;54;122;235;3986;351;233;1,53;32,67;27,24;3;United States;Northern America;"Springer New York";"1983, 1988-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3170;21100212316;"Frontiers in Neurology";journal;"16642295";"Frontiers Media SA";Yes;No;1,230;Q2;132;1792;3213;95013;12466;3133;3,73;53,02;42,93;172;Switzerland;Western Europe;"Frontiers Media SA";"2010-2026";"Neurology (Q2); Neurology (clinical) (Q2)";"Medicine; Neuroscience"
3171;4000148813;"Clinical Genitourinary Cancer";journal;"15587673, 19380682";"Elsevier Inc.";No;No;1,229;Q1;62;158;726;4785;1961;704;2,60;30,28;29,35;20;United States;Northern America;"Elsevier Inc.";"2005-2026";"Urology (Q1); Oncology (Q2)";"Medicine"
3172;19700180907;"Environmental Microbiology Reports";journal;"17582229";"John Wiley and Sons Inc";No;No;1,229;Q1;97;75;278;3773;856;265;2,90;50,31;40,71;3;United States;Northern America;"John Wiley and Sons Inc";"2009-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
3173;21100913479;"Frontiers in Nutrition";journal;"2296861X";"Frontiers Media SA";Yes;No;1,229;Q1;117;325;391;22334;2419;373;6,34;68,72;45,65;47;Switzerland;Western Europe;"Frontiers Media SA";"2014-2026";"Endocrinology, Diabetes and Metabolism (Q1); Food Science (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
3174;14398;"International Journal of Solids and Structures";journal;"00207683";"Elsevier Ltd";No;No;1,229;Q1;216;455;1058;21212;4150;1054;3,94;46,62;18,55;2;United Kingdom;Western Europe;"Elsevier Ltd";"1965-2026";"Applied Mathematics (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)";"Engineering; Materials Science; Mathematics; Physics and Astronomy"
3175;130049;"Journal of Services Marketing";journal;"08876045";"Emerald Group Publishing Ltd.";No;No;1,229;Q1;137;101;210;8025;1035;206;4,30;79,46;46,53;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1987-2026";"Marketing (Q1)";"Business, Management and Accounting"
3176;29861;"Organization and Environment";journal;"15527417, 10860266";"SAGE Publications Inc.";No;No;1,229;Q1;91;28;64;2244;300;61;5,09;80,14;37,84;9;United States;Northern America;"SAGE Publications Inc.";"1987-2026";"Environmental Science (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Environmental Science"
3177;18632;"Progress in Brain Research";book series;"18757855, 00796123";"Elsevier B.V.";No;No;1,229;Q2;172;103;316;12712;743;1;2,28;123,42;0,00;5;Netherlands;Western Europe;"Elsevier B.V.";"1963-1980, 1982-2025";"Neuroscience (miscellaneous) (Q2)";"Neuroscience"
3178;9700153101;"Chinese Journal of International Politics";journal;"17508924, 17508916";"Oxford University Press";No;No;1,228;Q1;49;17;49;2044;155;49;3,19;120,24;22,00;2;United Kingdom;Western Europe;"Oxford University Press";"2006-2025";"Political Science and International Relations (Q1)";"Social Sciences"
3179;23182;"Food Reviews International";journal;"87559129, 15256103";"Taylor and Francis Ltd.";No;No;1,228;Q1;112;39;95;4688;628;95;6,72;120,21;49,02;7;United States;Northern America;"Taylor and Francis Ltd.";"1985-2026";"Chemical Engineering (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering"
3180;17282;"Learning and Memory";journal;"10720502, 15495485";"Cold Spring Harbor Laboratory Press";No;No;1,228;Q1;156;58;212;3426;553;208;2,16;59,07;50,74;1;United States;Northern America;"Cold Spring Harbor Laboratory Press";"1994-2026";"Neuropsychology and Physiological Psychology (Q1); Cellular and Molecular Neuroscience (Q2); Cognitive Neuroscience (Q2)";"Neuroscience; Psychology"
3181;17600155049;"Journal of Oncology (discontinued)";journal;"16878450, 16878469";"Hindawi Limited";Yes;No;1,228;Q2;79;214;299;9700;1205;294;3,91;45,33;42,95;12;United States;Northern America;"Hindawi Limited";"2009-2023";"Oncology (Q2)";"Medicine"
3182;21100914527;"ACS Applied Nano Materials";journal;"25740970";"American Chemical Society";No;No;1,227;Q1;113;1257;1631;68951;8078;1630;4,95;54,85;31,08;11;United States;Northern America;"American Chemical Society";"2018-2026";"Materials Science (miscellaneous) (Q1)";"Materials Science"
3183;28582;"Biogerontology";journal;"15736768, 13895729";"Springer Science and Business Media B.V.";No;No;1,227;Q1;100;59;169;4221;785;164;3,87;71,54;45,20;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2000-2026";"Geriatrics and Gerontology (Q1); Gerontology (Q1); Aging (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
3184;15116;"Journal of Pediatrics";journal;"00223476, 10976833";"Elsevier Inc.";No;No;1,227;Q1;252;793;2511;16844;7138;2106;2,52;21,24;54,42;104;United States;Northern America;"Elsevier Inc.";"1932-2026";"Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
3185;16700154701;"Journal of Prosthodontic Research";journal;"22124632, 18831958";"Japan Prosthodontic Society";No;No;1,227;Q1;66;82;215;2530;904;209;4,59;30,85;24,77;2;Japan;Asiatic Region;"Japan Prosthodontic Society";"2009-2026";"Dentistry (miscellaneous) (Q1); Oral Surgery (Q1)";"Dentistry"
3186;21200;"Pharmacotherapy";journal;"18759114, 02770008";"American College of Clinical Pharmacy";No;No;1,227;Q1;136;122;416;5264;1686;387;3,91;43,15;46,89;20;United States;Northern America;"American College of Clinical Pharmacy";"1981-2026";"Pharmacology (medical) (Q1)";"Medicine"
3187;4700152204;"Structural Health Monitoring";journal;"17413168, 14759217";"SAGE Publications Ltd";No;No;1,227;Q1;106;126;279;5733;1403;276;5,15;45,50;23,87;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2026";"Biophysics (Q1); Mechanical Engineering (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering"
3188;21100201916;"Pediatric Obesity";journal;"20476302, 20476310";"John Wiley and Sons Ltd";No;No;1,226;Q1;92;117;295;5395;1071;288;3,49;46,11;62,92;18;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2012-2026";"Health Policy (Q1); Nutrition and Dietetics (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Nursing"
3189;14522;"Virchows Archiv";journal;"09456317, 14322307";"Springer Science and Business Media Deutschland GmbH";No;No;1,226;Q1;119;201;546;6256;1853;504;3,43;31,12;40,56;23;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1947-1948, 1950, 1952-1954, 1956, 1958, 1994-2026";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Cell Biology (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3190;21100826280;"Frontiers in Environmental Science";journal;"2296665X";"Frontiers Media SA";Yes;No;1,225;Q1;107;281;443;18919;2026;419;4,50;67,33;37,16;99;Switzerland;Western Europe;"Frontiers Media SA";"2013-2026";"Environmental Science (miscellaneous) (Q1)";"Environmental Science"
3191;21100786208;"Kidney International Reports";journal;"24680249";"Elsevier Inc.";Yes;No;1,225;Q1;69;348;588;8389;1692;479;2,68;24,11;38,87;44;United States;Northern America;"Elsevier Inc.";"2016-2026";"Nephrology (Q1)";"Medicine"
3192;13971;"Library and Information Science Research";journal;"07408188";"Elsevier B.V.";Yes;No;1,225;Q1;74;37;104;2143;314;98;2,70;57,92;55,17;4;United Kingdom;Western Europe;"Elsevier B.V.";"1987-2026";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
3193;23952;"Cooperation and Conflict";journal;"00108367, 14603691";"SAGE Publications Ltd";No;No;1,224;Q1;61;29;89;1927;327;87;3,25;66,45;51,28;8;United Kingdom;Western Europe;"SAGE Publications Ltd";"1965, 1967-2026";"Development (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
3194;24345;"Dermatology";journal;"10188665, 14219832";"S. Karger AG";No;No;1,224;Q1;113;84;216;2784;745;192;2,80;33,14;48,64;13;Switzerland;Western Europe;"S. Karger AG";"1893, 1895-2026";"Dermatology (Q1)";"Medicine"
3195;18729;"Psychiatry Research";journal;"01651781, 18727123";"Elsevier Ireland Ltd";No;No;1,224;Q1;198;797;2510;31216;7825;2424;2,91;39,17;49,75;213;Ireland;Western Europe;"Elsevier Ireland Ltd";"1979-2026";"Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)";"Medicine; Neuroscience"
3196;28007;"Security Dialogue";journal;"14603640, 09670106";"SAGE Publications Ltd";No;No;1,224;Q1;95;36;95;2440;389;92;3,66;67,78;39,47;11;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-1972, 1976-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3197;20691;"BMC Immunology";journal;"14712172";"BioMed Central Ltd";Yes;No;1,224;Q2;79;59;144;2498;584;144;3,62;42,34;46,14;1;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2026";"Immunology (Q2)";"Immunology and Microbiology"
3198;29452;"Aggressive Behavior";journal;"10982337, 0096140X";"Wiley-Liss Inc.";No;No;1,223;Q1;121;49;178;2706;486;175;2,60;55,22;50,77;3;United States;Northern America;"Wiley-Liss Inc.";"1974-2026";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
3199;17636;"Animal Health Research Reviews";journal;"14662523, 14752654";"Cambridge University Press";No;No;1,223;Q1;76;31;54;1480;276;54;2,59;47,74;44,78;0;United Kingdom;Western Europe;"Cambridge University Press";"1996, 2000-2023, 2025-2026";"Animal Science and Zoology (Q1)";"Agricultural and Biological Sciences"
3200;28634;"British Accounting Review";journal;"10958347, 08908389";"Academic Press";No;No;1,223;Q1;100;36;113;2801;611;107;4,95;77,81;31,25;3;United States;Northern America;"Academic Press";"1988-2026";"Accounting (Q1)";"Business, Management and Accounting"
3201;13401;"Consciousness and Cognition";journal;"10538100, 10902376";"Academic Press Inc.";No;No;1,223;Q1;139;124;474;8371;1282;457;2,37;67,51;40,19;1;United States;Northern America;"Academic Press Inc.";"1992-2026";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q2)";"Arts and Humanities; Psychology"
3202;25180;"Electrochemistry Communications";journal;"13882481";"Elsevier Inc.";Yes;No;1,223;Q1;224;181;735;5511;3457;735;4,73;30,45;31,28;2;United States;Northern America;"Elsevier Inc.";"1999-2026";"Electrochemistry (Q1)";"Chemistry"
3203;21100459104;"Experimental Hematology and Oncology";journal;"21623619";"BioMed Central Ltd";Yes;No;1,223;Q1;58;37;96;2219;374;95;4,36;59,97;50,00;5;United Kingdom;Western Europe;"BioMed Central Ltd";"2012-2026";"Hematology (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3204;14000155855;"International Multilingual Research Journal";journal;"19313160, 19313152";"Routledge";No;No;1,223;Q1;39;22;58;1162;138;54;1,69;52,82;76,92;4;United Kingdom;Western Europe;"Routledge";"2010-2026";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
3205;20238;"Journal of Microbiology, Immunology and Infection";journal;"19959133, 16841182";"Elsevier Ltd";Yes;No;1,223;Q1;85;155;399;4417;1386;342;3,69;28,50;40,68;28;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2026";"Medicine (miscellaneous) (Q1); Immunology and Allergy (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2); Microbiology (medical) (Q2)";"Immunology and Microbiology; Medicine"
3206;29467;"Hydrological Processes";journal;"10991085, 08856087";"John Wiley and Sons Ltd";No;No;1,222;Q1;195;385;880;24108;3314;850;3,46;62,62;30,60;66;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1986-2026";"Water Science and Technology (Q1)";"Environmental Science"
3207;15185;"Academic Emergency Medicine";journal;"15532712, 10696563";"Wiley-Blackwell";No;No;1,221;Q1;154;239;573;4161;1360;427;2,00;17,41;38,90;51;United States;Northern America;"Wiley-Blackwell";"1994-2026";"Emergency Medicine (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
3208;14857;"Cerebrovascular Diseases";journal;"14219786, 10159770";"S. Karger AG";No;No;1,221;Q1;126;109;235;2646;652;215;2,49;24,28;30,05;8;Switzerland;Western Europe;"S. Karger AG";"1987-1988, 1991-2026";"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2)";"Medicine; Neuroscience"
3209;12100156705;"Clinical Simulation in Nursing";journal;"18761399";"Elsevier Inc.";No;No;1,221;Q1;72;110;256;2607;652;239;2,37;23,70;72,01;8;United States;Northern America;"Elsevier Inc.";"2006-2026";"Education (Q1); Modeling and Simulation (Q1); Nursing (miscellaneous) (Q1)";"Mathematics; Nursing; Social Sciences"
3210;21100466461;"Friction";journal;"22237704, 22237690";"Tsinghua University Press";Yes;Yes;1,221;Q1;69;79;119;4158;772;116;5,26;52,63;23,44;0;China;Asiatic Region;"Tsinghua University Press";"2013-2026";"Mechanical Engineering (Q1); Surfaces, Coatings and Films (Q1)";"Engineering; Materials Science"
3211;12257;"Journal of Orthopaedic Trauma";journal;"08905339, 15312291";"Wolters Kluwer Health";No;No;1,221;Q1;159;255;880;5138;2207;812;2,33;20,15;20,70;0;United States;Northern America;"Wolters Kluwer Health";"1987-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1); Sports Science (Q2)";"Health Professions; Medicine"
3212;19700175823;"Briefings in Functional Genomics";journal;"20412649, 20412657";"Oxford University Press";No;No;1,220;Q1;91;30;140;2578;509;131;3,86;85,93;35,29;4;United Kingdom;Western Europe;"Oxford University Press";"2010-2026";"Medicine (miscellaneous) (Q1); Biochemistry (Q2); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3213;21100978391;"Cells";journal;"20734409";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,220;Q1;196;2700;1974;153778;12173;1958;6,17;56,95;47,64;81;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
3214;20532;"Journal of Air Transport Management";journal;"09696997";"Elsevier Ltd";No;No;1,220;Q1;107;142;356;7377;1589;349;4,61;51,95;28,79;44;United Kingdom;Western Europe;"Elsevier Ltd";"1994-1995, 1997-2026";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
3215;12100155706;"Journal of Language, Identity and Education";journal;"15327701, 15348458";"Routledge";No;No;1,219;Q1;42;35;84;1757;199;83;1,42;50,20;64,29;0;United Kingdom;Western Europe;"Routledge";"2007, 2009-2026";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
3216;4700152872;"Journal of Neuroimmune Pharmacology";journal;"15571890, 15571904";"Springer";No;No;1,219;Q1;99;69;160;6473;610;147;3,26;93,81;40,73;5;United States;Northern America;"Springer";"2006-2026";"Pharmacology (Q1); Immunology (Q2); Immunology and Allergy (Q2); Neuroscience (miscellaneous) (Q2)";"Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
3217;25122;"Progress in Crystal Growth and Characterization of Materials";journal;"09608974";"Elsevier Ltd";No;No;1,219;Q1;61;6;22;849;141;21;7,57;141,50;23,08;0;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2026";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)";"Materials Science; Physics and Astronomy"
3218;16703;"American Journal of Botany";journal;"15372197, 00029122";"John Wiley &amp; Sons Inc.";No;No;1,218;Q1;186;156;530;9475;1501;478;2,78;60,74;42,26;5;United States;Northern America;"John Wiley &amp; Sons Inc.";"1922, 1934-1935, 1939-1943, 1946-1957, 1959-1960, 1965-1970, 1974, 1976-2026";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1); Genetics (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3219;19900191620;"Engineering Studies";journal;"19378629, 19408374";"Taylor and Francis Ltd.";No;No;1,218;Q1;31;13;36;578;64;30;1,17;44,46;40,00;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2026";"Education (Q1); Engineering (miscellaneous) (Q1); History and Philosophy of Science (Q1)";"Arts and Humanities; Engineering; Social Sciences"
3220;15107;"IEEE Transactions on Information Theory";journal;"00189448, 15579654";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,218;Q1;310;485;1436;17455;5110;1436;3,44;35,99;17,95;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
3221;16211;"IEEE Transactions on Multimedia";journal;"15209210, 19410077";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,218;Q1;173;250;726;13375;5884;721;7,86;53,50;26,12;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1999-2026";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Media Technology (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
3222;24072;"Microchimica Acta";journal;"14365073, 00263672";"Springer-Verlag Wien";No;No;1,218;Q1;121;671;1955;26289;10673;1954;5,55;39,18;45,58;1;Austria;Western Europe;"Springer-Verlag Wien";"1926-1944, 1947-2026";"Analytical Chemistry (Q1)";"Chemistry"
3223;26403;"SIAM Journal on Applied Dynamical Systems";journal;"15360040";"Society for Industrial and Applied Mathematics Publications";No;No;1,218;Q1;74;89;230;4140;679;230;2,69;46,52;15,60;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2002-2026";"Analysis (Q1); Modeling and Simulation (Q1)";"Mathematics"
3224;10600153306;"Communications in Computational Physics";journal;"18152406, 19917120";"Global Science Press";No;No;1,217;Q1;76;160;376;6874;916;374;2,27;42,96;27,42;0;Hong Kong;Asiatic Region;"Global Science Press";"2007-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
3225;5700164380;"Comunicar (discontinued)";journal;"19883293, 11343478";"Grupo Comunicar Ediciones";Yes;Yes;1,217;Q1;65;40;123;1743;716;123;6,30;43,58;54,87;0;Spain;Western Europe;"Grupo Comunicar Ediciones";"2008-2023";"Communication (Q1); Cultural Studies (Q1); Education (Q1)";"Social Sciences"
3226;14122;"Economic Development and Cultural Change";journal;"00130079, 15392988";"University of Chicago Press";No;Yes;1,217;Q1;92;43;83;2079;142;83;1,29;48,35;40,48;35;United States;Northern America;"University of Chicago Press";"1978-1979, 1982-2026";"Development (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
3227;13866;"Experimental Eye Research";journal;"00144835, 10960007";"Academic Press";No;No;1,217;Q1;162;333;799;18444;2818;773;3,24;55,39;43,56;4;United States;Northern America;"Academic Press";"1961-2026";"Ophthalmology (Q1); Sensory Systems (Q2); Cellular and Molecular Neuroscience (Q3)";"Medicine; Neuroscience"
3228;21100197939;"Transfer";journal;"10242589, 19967284";"SAGE Publications Ltd";No;No;1,217;Q1;41;35;120;1067;252;76;0,63;30,49;36,73;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-1997, 2010-2026";"Industrial Relations (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
