Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
10996;4700152716;"Children and Schools";journal;"15328759";"National Association of Social Workers";No;No;0,437;Q2;39;20;87;574;84;82;0,86;28,70;87,04;6;United States;Northern America;"National Association of Social Workers";"1978-1979, 1981-1995, 2005-2026";"Education (Q2); Health (social science) (Q2)";"Social Sciences"
10997;17700156413;"Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control";journal;"16743415";"Power System Protection and Control Press";Yes;No;0,437;Q2;64;565;1699;13494;3950;1699;2,58;23,88;31,13;0;China;Asiatic Region;"Power System Protection and Control Press";"2009-2026";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)";"Engineering"
10998;27536;"European Journal of Physics";journal;"01430807, 13616404";"Institute of Physics";No;No;0,437;Q2;66;178;667;4275;585;660;0,86;24,02;25,00;1;United Kingdom;Western Europe;"Institute of Physics";"1980-2025";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
10999;4400151503;"Federal Reserve Bank of St. Louis Review";journal;"00149187";"Federal Reserve Bank of St.Louis";No;No;0,437;Q2;43;16;58;367;68;58;1,40;22,94;27,78;10;United States;Northern America;"Federal Reserve Bank of St.Louis";"2001-2002, 2005-2025";"Business and International Management (Q2)";"Business, Management and Accounting"
11000;37958;"Geographical Review";journal;"00167428, 19310846";"Taylor and Francis Inc.";Yes;No;0,437;Q2;60;32;105;1800;167;97;1,75;56,25;52,17;7;United States;Northern America;"Taylor and Francis Inc.";"1969, 1973, 1976, 1979-2026";"Earth-Surface Processes (Q2); Geography, Planning and Development (Q2)";"Earth and Planetary Sciences; Social Sciences"
11001;19600157902;"IEEE Magnetics Letters";journal;"19493088, 1949307X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,437;Q2;36;112;257;2568;354;257;1,48;22,93;21,78;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2026";"Electronic, Optical and Magnetic Materials (Q2)";"Materials Science"
11002;25461;"Informatica (Netherlands)";journal;"08684952";"SAGE Publications Ltd";Yes;No;0,437;Q2;52;29;122;1412;302;122;2,88;48,69;26,67;0;Netherlands;Western Europe;"SAGE Publications Ltd";"1990-2024";"Information Systems (Q2); Applied Mathematics (Q3)";"Computer Science; Mathematics"
11003;21100197318;"International Journal of Automation Technology";journal;"18838022, 18817629";"Fuji Technology Press";Yes;No;0,437;Q2;30;93;343;2062;344;318;1,18;22,17;12,50;0;Japan;Asiatic Region;"Fuji Technology Press";"2007-2026";"Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2)";"Engineering"
11004;21100201525;"International Journal of Wine Research (discontinued)";journal;"11791403";"Dove Medical Press Ltd";Yes;No;0,437;Q2;21;3;8;241;15;7;2,25;80,33;30,00;0;New Zealand;Pacific Region;"Dove Medical Press Ltd";"2009-2020";"Food Science (Q2)";"Agricultural and Biological Sciences"
11005;21100867262;"Italian Botanist";journal;"25314033";"Pensoft Publishers";Yes;No;0,437;Q2;23;20;43;1124;62;42;1,70;56,20;37,96;0;Bulgaria;Eastern Europe;"Pensoft Publishers";"1999-2026";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
11006;19466;"Journal of Dental Education";journal;"00220337, 19307837";"John Wiley &amp; Sons Inc.";No;No;0,437;Q2;86;211;542;4007;614;491;1,03;18,99;57,83;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"1946-1947, 1949-1951, 1965-2026";"Dentistry (miscellaneous) (Q2); Education (Q2); Medicine (miscellaneous) (Q3)";"Dentistry; Medicine; Social Sciences"
11007;21100906916;"Software-Intensive Cyber-Physical Systems";journal;"25248510, 25248529";"Springer Berlin";No;No;0,437;Q2;12;23;0;575;0;0;0,00;25,00;11,43;0;Germany;Western Europe;"Springer Berlin";"2019-2021";"Computer Networks and Communications (Q2); Computer Science (miscellaneous) (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2); Computational Theory and Mathematics (Q3)";"Computer Science"
11008;19200156938;"Transforming Government: People, Process and Policy";journal;"17506166";"Emerald Group Publishing Ltd.";No;No;0,437;Q2;54;14;74;1169;169;71;2,56;83,50;38,71;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2007-2026";"E-learning (Q2); Information Systems and Management (Q2); Public Administration (Q2); Computer Science Applications (Q3)";"Computer Science; Decision Sciences; Social Sciences"
11009;21772;"Neurochirurgie";journal;"17730619, 00283770";"Elsevier Masson s.r.l.";No;No;0,437;Q3;40;76;208;1982;245;203;1,32;26,08;26,67;6;France;Western Europe;"Elsevier Masson s.r.l.";"1955-2026";"Neurology (clinical) (Q3); Surgery (Q3)";"Medicine"
11010;29343;"Perspectives in Psychiatric Care";journal;"17446163, 00315990";"John Wiley and Sons Inc";No;No;0,437;Q3;58;106;170;3816;245;157;1,33;36,00;67,01;12;United States;Northern America;"John Wiley and Sons Inc";"1963-1985, 1987, 1989-2026";"Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)";"Medicine"
11011;12989;"Revista Brasileira de Ortopedia";journal;"19824378, 01023616";"Thieme";Yes;Yes;0,437;Q3;32;103;391;2156;389;377;0,92;20,93;14,10;1;Brazil;Latin America;"Thieme";"1996-2000, 2011-2025";"Orthopedics and Sports Medicine (Q3); Surgery (Q3)";"Medicine"
11012;21100812106;"Proceedings of the 2017 20th Conference on Innovations in Clouds, Internet and Networks, ICIN 2017";conference and proceedings;"-";"";No;No;0,437;-;15;0;60;0;133;58;2,22;0,00;0,00;0;United States;Northern America;"";"";"Acoustics and Ultrasonics; Artificial Intelligence; Communication; Computer Networks and Communications; Instrumentation";"Computer Science; Physics and Astronomy; Social Sciences"
11013;21100776446;"WoWMoM 2016 - 17th International Symposium on a World of Wireless, Mobile and Multimedia Networks";conference and proceedings;"-";"";No;No;0,437;-;19;0;100;0;170;92;0,00;0,00;0,00;0;United States;Northern America;"";"";"Civil and Structural Engineering; Mechanical Engineering; Ocean Engineering";"Engineering"
11014;145523;"Cognition, Technology and Work";journal;"14355558, 14355566";"Springer London";No;No;0,436;Q1;59;50;151;2739;262;147;1,64;54,78;32,67;13;United Kingdom;Western Europe;"Springer London";"2002-2026";"Philosophy (Q1); Human-Computer Interaction (Q2); Computer Science Applications (Q3)";"Arts and Humanities; Computer Science"
11015;21100235624;"Faith and Philosophy";journal;"07397046, 21533393";"Society of Christian Philosophers";No;No;0,436;Q1;31;22;69;657;33;68;0,36;29,86;4,55;0;United States;Northern America;"Society of Christian Philosophers";"1995-2023, 2025";"Philosophy (Q1); Religious Studies (Q1)";"Arts and Humanities"
11016;25657;"HAHR - Hispanic American Historical Review";journal;"15271900, 00182168";"Duke University Press";No;No;0,436;Q1;31;16;51;901;51;50;1,10;56,31;62,50;1;United States;Northern America;"Duke University Press";"1962-1971, 1973-1974, 1976-2025";"Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
11017;1200147101;"Sport in Society";journal;"17430445, 17430437";"Routledge";No;No;0,436;Q1;60;136;367;6955;405;343;1,12;51,14;34,38;17;United Kingdom;Western Europe;"Routledge";"2005-2026";"Cultural Studies (Q1); Sports Science (Q3)";"Health Professions; Social Sciences"
11018;25061;"Displays";journal;"01419382";"Elsevier B.V.";No;No;0,436;Q2;76;35;126;1358;308;122;2,36;38,80;24,37;2;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2)";"Computer Science; Engineering"
11019;200147133;"International Journal of Lifelong Education";journal;"1464519X, 02601370";"Routledge";No;No;0,436;Q2;61;48;144;2203;139;127;0,65;45,90;57,32;9;United Kingdom;Western Europe;"Routledge";"1982-2026";"Education (Q2); E-learning (Q2); Life-span and Life-course Studies (Q3)";"Social Sciences"
11020;13893;"International Planning Studies";journal;"14699265, 13563475";"Routledge";No;No;0,436;Q2;55;24;80;1293;115;79;1,30;53,88;35,90;10;United Kingdom;Western Europe;"Routledge";"1996-2026";"Geography, Planning and Development (Q2)";"Social Sciences"
11021;21100320405;"Journal of Agricultural Engineering";journal;"22396268, 19747071";"Page Press Publications";Yes;No;0,436;Q2;29;26;96;646;173;92;1,50;24,85;32,61;1;Italy;Western Europe;"Page Press Publications";"2012-2026";"Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Bioengineering (Q3)";"Chemical Engineering; Engineering"
11022;28517;"Journal of Experimental and Theoretical Physics";journal;"10637761, 10906509";"Pleiades Publishing";No;No;0,436;Q2;66;212;685;7297;786;684;1,24;34,42;21,67;0;United States;Northern America;"Pleiades Publishing";"1980, 1983, 1992, 1997-2025";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
11023;25427;"Journal of Horticultural Science and Biotechnology";journal;"14620316";"Taylor and Francis Ltd.";No;No;0,436;Q2;75;85;232;3874;299;228;1,28;45,58;40,72;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Horticulture (Q2); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
11024;23319;"Polish Polar Research";journal;"01380338, 20818262";"Polish Academy of Sciences, Committee on Polar Research";Yes;Yes;0,436;Q2;37;18;74;856;92;74;1,11;47,56;29,85;1;Poland;Eastern Europe;"Polish Academy of Sciences, Committee on Polar Research";"1980-2025";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
11025;21100944489;"Biomimetics";journal;"23137673";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,436;Q3;52;77;68;3325;160;63;2,61;43,18;32,00;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2016-2026";"Biochemistry (Q3); Bioengineering (Q3); Biomaterials (Q3); Biomedical Engineering (Q3); Biotechnology (Q3); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
11026;21100828905;"BJPsych Advances";journal;"20564686, 20564678";"Cambridge University Press";No;No;0,436;Q3;63;48;179;1472;149;163;0,80;30,67;38,54;6;United Kingdom;Western Europe;"Cambridge University Press";"2015-2026";"Psychiatry and Mental Health (Q3)";"Medicine"
11027;29535;"Journal of Freshwater Ecology";journal;"02705060, 21566941";"Taylor and Francis Ltd.";Yes;No;0,436;Q3;45;55;149;2649;189;140;1,06;48,16;37,11;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2026";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
11028;33849;"Journal of Receptors and Signal Transduction";journal;"10799893, 15324281";"Taylor and Francis Ltd.";No;No;0,436;Q3;57;54;185;2465;307;185;1,53;45,65;35,51;1;United States;Northern America;"Taylor and Francis Ltd.";"1980-1981, 1983-2026";"Biochemistry (Q3); Cell Biology (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology"
11029;11400153335;"Recent Patents on Inflammation and Allergy Drug Discovery";journal;"1872213X, 22122710";"Bentham Science Publishers";No;No;0,436;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2007-2020";"Drug Discovery (Q3); Immunology and Allergy (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
11030;4300151406;"Revista Brasileira de Entomologia";journal;"00855626, 18069665";"Sociedade Brasileira De Entomologia";Yes;No;0,436;Q3;40;53;161;1784;177;161;0,97;33,66;39,69;4;Brazil;Latin America;"Sociedade Brasileira De Entomologia";"2003, 2005-2026";"Insect Science (Q3)";"Agricultural and Biological Sciences"
11031;21100467819;"Proceedings - 2016 IEEE International Conference on Cloud Engineering, IC2E 2016: Co-located with the 1st IEEE International Conference on Internet-of-Things Design and Implementation, IoTDI 2016";conference and proceedings;"-";"";No;No;0,436;-;12;0;41;0;90;38;0,00;0,00;0,00;0;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Information Systems; Social Sciences (miscellaneous)";"Computer Science; Social Sciences"
11032;5700174038;"Grazer Philosophische Studien";journal;"18756735, 01659227";"Brill Rodopi";No;No;0,435;Q1;17;32;77;965;48;76;0,51;30,16;27,03;0;Netherlands;Western Europe;"Brill Rodopi";"1975, 1981-1983, 1986-1987, 1989, 1991, 1994, 2001, 2006, 2011-2013, 2015-2026";"Philosophy (Q1)";"Arts and Humanities"
11033;17500155102;"Journal for the Study of the New Testament";journal;"17455294, 0142064X";"SAGE Publications Ltd";No;No;0,435;Q1;31;24;79;1428;38;78;0,39;59,50;14,81;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1978-2026";"Religious Studies (Q1)";"Arts and Humanities"
11034;3200147837;"Journal of Exercise Science and Fitness";journal;"1728869X";"Elsevier (Singapore) Pte Ltd";Yes;No;0,435;Q1;39;16;50;653;87;50;1,42;40,81;36,49;0;Singapore;Asiatic Region;"Elsevier (Singapore) Pte Ltd";"2005-2026";"Pharmacology (nursing) (Q1); Pharmaceutical Science (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Public Health, Environmental and Occupational Health (Q3); Sports Science (Q3)";"Health Professions; Medicine; Nursing; Pharmacology, Toxicology and Pharmaceutics"
11035;21100468931;"Avian Research";journal;"20537166";"KeAi Communications Co.";Yes;No;0,435;Q2;28;47;102;2625;127;101;1,25;55,85;32,99;2;China;Asiatic Region;"KeAi Communications Co.";"2014-2026";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
11036;21490;"Ethology Ecology and Evolution";journal;"03949370, 18287131";"Taylor and Francis Ltd.";Yes;No;0,435;Q2;49;45;128;2440;139;122;1,00;54,22;32,57;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2025";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
11037;21100777750;"International Journal of Emotional Education";journal;"20737629";"University of Malta";Yes;Yes;0,435;Q2;21;11;59;441;69;56;0,81;40,09;70,27;0;Malta;Western Europe;"University of Malta";"2016-2025";"Education (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
11038;23720;"International Review of Applied Economics";journal;"14653486, 02692171";"Taylor and Francis Ltd.";No;No;0,435;Q2;56;51;119;1975;157;112;0,95;38,73;23,75;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2026";"Economics and Econometrics (Q2)";"Economics, Econometrics and Finance"
11039;19700182688;"Journal of Baltic Science Education";journal;"25387138, 16483898";"Scientia Socialis Ltd";Yes;No;0,435;Q2;31;71;220;3201;268;207;1,33;45,08;49,44;3;Lithuania;Eastern Europe;"Scientia Socialis Ltd";"2008-2025";"Education (Q2)";"Social Sciences"
11040;21100448513;"Journal of Healthcare Leadership";journal;"11793201";"Dove Medical Press Ltd";Yes;No;0,435;Q2;30;9;29;518;73;28;2,50;57,56;61,11;0;United Kingdom;Western Europe;"Dove Medical Press Ltd";"2014-2026";"Leadership and Management (Q2); Organizational Behavior and Human Resource Management (Q2); Public Health, Environmental and Occupational Health (Q3)";"Business, Management and Accounting; Medicine; Nursing"
11041;5100155099;"Qualitative Research in Psychology";journal;"14780895, 14780887";"Taylor and Francis Ltd.";No;No;0,435;Q2;62;36;79;1709;149;77;1,45;47,47;72,22;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2026";"Psychology (miscellaneous) (Q2)";"Psychology"
11042;21100865207;"Advances in Rheumatology";journal;"25233106";"BioMed Central Ltd";Yes;No;0,435;Q3;45;62;261;1198;375;251;1,35;19,32;58,71;5;United Kingdom;Western Europe;"BioMed Central Ltd";"2018-2026";"Rheumatology (Q3)";"Medicine"
11043;12041;"Applied Psychophysiology Biofeedback";journal;"15733270, 10900586";"Springer";No;No;0,435;Q3;81;31;103;1754;190;103;1,56;56,58;39,60;2;United States;Northern America;"Springer";"1997-2026";"Applied Psychology (Q3); Neuropsychology and Physiological Psychology (Q3)";"Psychology"
11044;21100909462;"BMJ Health and Care Informatics";journal;"26321009";"BMJ Publishing Group";Yes;No;0,435;Q3;53;51;101;1421;122;90;1,19;27,86;39,60;11;United Kingdom;Western Europe;"BMJ Publishing Group";"2019-2026";"Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3)";"Computer Science; Health Professions; Medicine"
11045;21100296642;"Ethiopian Journal of Health Sciences";journal;"10291857, 24137170";"";Yes;Yes;0,435;Q3;42;101;276;0;344;255;1,05;0,00;25,93;10;Ethiopia;Africa;"";"2013-2025";"Medicine (miscellaneous) (Q3)";"Medicine"
11046;19073;"Zygote";journal;"14698730, 09671994";"Cambridge University Press";No;No;0,435;Q4;54;66;235;2669;316;235;1,28;40,44;44,92;0;United Kingdom;Western Europe;"Cambridge University Press";"1993-2026";"Cell Biology (Q4); Developmental Biology (Q4)";"Biochemistry, Genetics and Molecular Biology"
11047;21100824974;"African Journal of Laboratory Medicine";journal;"22252002, 22252010";"AOSIS (Pty) Ltd";Yes;Yes;0,434;Q2;21;28;87;703;89;74;0,69;25,11;43,26;3;South Africa;Africa;"AOSIS (Pty) Ltd";"2014, 2016-2026";"Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3); Public Health, Environmental and Occupational Health (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
11048;24927;"Dynamical Systems";journal;"14689367, 14689375";"Taylor and Francis Ltd.";No;No;0,434;Q2;37;36;95;764;86;94;1,00;21,22;29,03;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Mathematics (miscellaneous) (Q2); Computer Science Applications (Q3)";"Computer Science; Mathematics"
11049;12505;"Ecology of Food and Nutrition";journal;"03670244, 15435237";"Taylor and Francis Ltd.";No;No;0,434;Q2;53;43;97;1579;141;91;1,09;36,72;66,87;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2026";"Ecology (Q2); Food Science (Q2); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
11050;18500158100;"Forum (Germany)";journal;"21946183, 15408884";"Walter de Gruyter GmbH";Yes;No;0,434;Q2;28;27;104;1175;49;94;0,38;43,52;35,00;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2000, 2002, 2004-2025";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
11051;19900191845;"Frontiers of Materials Science";journal;"20950268, 2095025X";"Higher Education Press Limited Company";No;No;0,434;Q2;47;40;128;2038;275;128;1,94;50,95;40,00;0;China;Asiatic Region;"Higher Education Press Limited Company";"2011-2026";"Materials Science (miscellaneous) (Q2)";"Materials Science"
11052;21100805800;"International Journal of Building Pathology and Adaptation";journal;"23984708, 23984716";"Emerald Publishing";No;No;0,434;Q2;47;42;87;2064;151;84;1,72;49,14;32,41;0;United Kingdom;Western Europe;"Emerald Publishing";"2017-2026";"Building and Construction (Q2); Civil and Structural Engineering (Q2)";"Engineering"
11053;21100267903;"International Journal of Game-Based Learning";journal;"21556857, 21556849";"IGI Global Publishing";No;No;0,434;Q2;32;15;61;607;95;61;1,51;40,47;39,53;0;United States;Northern America;"IGI Global Publishing";"2011-2025";"Education (Q2); E-learning (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
11054;15722;"Pediatric Emergency Care";journal;"07495161, 15351815";"Lippincott Williams and Wilkins";No;No;0,434;Q2;82;258;741;5779;675;674;0,91;22,40;48,81;0;United States;Northern America;"Lippincott Williams and Wilkins";"1985-2026";"Emergency Medicine (Q2); Pediatrics, Perinatology and Child Health (Q2); Medicine (miscellaneous) (Q3)";"Medicine"
11055;21100286809;"Policy and Practice in Health and Safety";journal;"14773996, 14774003";"Taylor and Francis Ltd.";No;No;0,434;Q2;16;13;42;602;60;34;1,43;46,31;66,67;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Health (social science) (Q2); Safety Research (Q2); Health Policy (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Social Sciences"
11056;145216;"Conformal Geometry and Dynamics";journal;"10884173";"American Mathematical Society";No;No;0,434;Q3;20;16;40;319;17;40;0,37;19,94;0,00;0;United States;Northern America;"American Mathematical Society";"1997-2025";"Geometry and Topology (Q3)";"Mathematics"
11057;21100853885;"International Journal of Molecular Imaging";journal;"20901712";"";No;No;0,434;Q3;1;0;1;0;7;1;0,00;0,00;0,00;0;United States;Northern America;"";"";"Radiology, Nuclear Medicine and Imaging (Q3)";"Medicine"
11058;12720;"Journal of Nutritional Science and Vitaminology";journal;"18817742, 03014800";"Center for Academic Publications Japan";No;No;0,434;Q3;74;129;186;3566;294;162;1,54;27,64;41,18;1;Japan;Asiatic Region;"Center for Academic Publications Japan";"1973-2025";"Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3)";"Medicine; Nursing"
11059;19700201419;"LUTS: Lower Urinary Tract Symptoms";journal;"17575664, 17575672";"Wiley Blackwell";No;No;0,434;Q3;30;78;104;2064;159;103;1,47;26,46;27,54;8;Japan;Asiatic Region;"Wiley Blackwell";"2010-2026";"Neurology (Q3); Urology (Q3)";"Medicine; Neuroscience"
11060;19700200725;"North American Journal of Medical Sciences";journal;"19472714, 22501541";"Wolters Kluwer Medknow Publications";Yes;No;0,434;Q3;55;0;61;0;131;55;0,00;0,00;0,00;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2011-2016";"Medicine (miscellaneous) (Q3)";"Medicine"
11061;21100356781;"Virology Reports";journal;"22146695";"Elsevier B.V.";Yes;No;0,434;Q3;10;0;14;0;22;14;3,00;0,00;0,00;0;Netherlands;Western Europe;"Elsevier B.V.";"2014, 2016-2017";"Biochemistry (Q3); Virology (Q4)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
11062;21100784365;"2016 IEEE 7th International Symposium on Power Electronics for Distributed Generation Systems, PEDG 2016";conference and proceedings;"-";"";No;No;0,434;-;18;0;108;0;160;107;0,00;0,00;0,00;0;United States;Northern America;"";"";"Artificial Intelligence; Civil and Structural Engineering; Geotechnical Engineering and Engineering Geology; Human-Computer Interaction";"Computer Science; Earth and Planetary Sciences; Engineering"
11063;21100457410;"PAWR 2016 - Proceedings of the 2016 IEEE Topical Conference on Power Amplifiers for Wireless and Radio Applications";conference and proceedings;"-";"";No;No;0,434;-;6;0;16;0;30;15;0,00;0,00;0,00;0;United States;Northern America;"";"";"Urban Studies";"Social Sciences"
11064;5600155969;"Civil Wars";journal;"13698249, 1743968X";"Routledge";No;No;0,433;Q1;30;25;70;1555;81;66;0,89;62,20;36,36;5;United States;Northern America;"Routledge";"2001-2002, 2010-2026";"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
11065;4700152739;"Child and Youth Services";journal;"15452298, 0145935X";"Routledge";No;No;0,433;Q2;26;21;64;926;92;52;0,88;44,10;62,50;0;United States;Northern America;"Routledge";"1977-1983, 1985-1991, 1993-1994, 1997-1999, 2001, 2004-2026";"Health (social science) (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
11066;24412;"Community Dental Health";journal;"25151746, 0265539X";"SAGE Publications Ltd";No;No;0,433;Q2;57;47;143;1381;183;129;0,71;29,38;55,63;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1984-2025";"Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Dentistry; Medicine"
11067;21100910579;"Curriculum Studies in Health and Physical Education";journal;"25742981, 2574299X";"Routledge";No;No;0,433;Q2;29;20;61;821;48;53;0,72;41,05;36,00;2;United States;Northern America;"Routledge";"2018-2026";"Education (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3)";"Health Professions; Medicine; Social Sciences"
11068;16252;"Journal of Aerospace Engineering";journal;"08931321, 19435525";"American Society of Civil Engineers (ASCE)";No;No;0,433;Q2;66;157;434;5102;872;433;2,12;32,50;25,55;0;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1988-2026";"Aerospace Engineering (Q2); Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2)";"Engineering; Materials Science"
11069;12100156092;"Journal of Political Science Education";journal;"15512177, 15512169";"Taylor and Francis Ltd.";No;No;0,433;Q2;37;47;106;1138;97;100;0,76;24,21;41,43;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2026";"Education (Q2); Sociology and Political Science (Q2)";"Social Sciences"
11070;22754;"Journal of the Asia Pacific Economy";journal;"13547860, 14699648";"Routledge";No;No;0,433;Q2;45;35;110;1333;138;107;1,12;38,09;39,47;6;United Kingdom;Western Europe;"Routledge";"1996-2026";"Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Social Sciences"
11071;35688;"Materials and Corrosion";journal;"15214176, 09475117";"John Wiley and Sons Inc";No;No;0,433;Q2;74;193;418;7051;687;411;1,63;36,53;31,29;1;United States;Northern America;"John Wiley and Sons Inc";"1950-1951, 1953-2026";"Materials Chemistry (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Metals and Alloys (Q2); Surfaces, Coatings and Films (Q2); Environmental Chemistry (Q3)";"Engineering; Environmental Science; Materials Science"
11072;22310;"Polar Research";journal;"17518369, 08000395";"Norwegian Polar Institute";Yes;No;0,433;Q2;64;41;125;2206;161;123;1,10;53,80;36,81;6;United Kingdom;Western Europe;"Norwegian Polar Institute";"1982-2026";"Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Environmental Chemistry (Q3); Oceanography (Q3)";"Earth and Planetary Sciences; Environmental Science"
11073;19504;"Veterinary Clinical Pathology";journal;"02756382, 1939165X";"Wiley-Blackwell";No;No;0,433;Q2;69;111;314;2343;262;268;0,71;21,11;60,10;1;United States;Northern America;"Wiley-Blackwell";"1977-2026";"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)";"Medicine; Veterinary"
11074;4000150001;"Bioinorganic Chemistry and Applications";journal;"15653633, 1687479X";"John Wiley and Sons Ltd";Yes;No;0,433;Q3;57;11;94;808;266;93;3,28;73,45;29,73;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2003-2026";"Biochemistry (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
11075;21100226804;"Chinese Optics";journal;"20971842";"";No;No;0,433;Q3;30;130;257;4210;406;257;1,66;32,38;33,94;0;China;Asiatic Region;"";"2010-2026";"Atomic and Molecular Physics, and Optics (Q3)";"Physics and Astronomy"
11076;22543;"Journal of Crustacean Biology";journal;"1937240X, 02780372";"Brill Academic Publishers";No;No;0,433;Q3;66;90;279;4668;295;275;1,20;51,87;34,09;13;Netherlands;Western Europe;"Brill Academic Publishers";"1984, 1992-2026";"Aquatic Science (Q3)";"Agricultural and Biological Sciences"
11077;21100200425;"Bulletin of the Section of Logic";journal;"01380680";"Lodz University";Yes;Yes;0,432;Q1;17;18;53;297;19;53;0,44;16,50;19,05;0;Poland;Eastern Europe;"Lodz University";"1996-2025";"Philosophy (Q1); Logic (Q3)";"Arts and Humanities; Mathematics"
11078;21100411756;"Heliyon";journal;"24058440";"Elsevier Ltd";Yes;No;0,432;Q1;145;1843;995;82012;1995;995;1,97;44,50;36,02;159;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
